0, -8, -16, -12, -8, 0, 8, 16, 12, 8,
0, -4, -12, -8, -4, 0, 4, 12, 8, 4,
0, -2, -8, -4, -2, 0, 2, 8, 4, 2,
0, 1, -4, -2, 1, 0, 1, 4, 2, 1,
0, 2, 8, 7, 4, 0, -2, -8, -7, -4,
0, 2, 6, 5, 2, 0, 2, -6, -5, 2,
0, 2, 8, 4, 2, 0, -2, -8, -4, -2,
0, 4, 12, 8, 4, 0, -4, -12, -8, -4,
0, 8, 16, 12, 8, 0, -8, -16, -12, -8,
0, 8, 16, 12, 8, 0, -8, -16, -12, -8,


14.0000,16.0000,13.0000,3.0000,-2.0000,-5.0000,-4.0000,-4.0000,-1.0000,3.0000,
39.0000,20.0000,12.0000,-3.0000,-4.0000,-3.0000,-3.0000,-6.0000,-2.0000,4.0000,
9.0000,3.0000,2.0000,-1.0000,-1.0000,-3.0000,-2.0000,-3.0000,-3.0000,5.0000,
5.0000,6.0000,2.0000,-3.0000,-3.0000,-3.0000,-1.0000,-1.0000,-1.0000,4.0000,
-1.0000,-2.0000,-3.0000,-2.0000,-2.0000,-1.0000,1.0000,2.0000,1.0000,0.0000,
-14.0000,-12.0000,-3.0000,-6.0000,0.0000,1.0000,4.0000,4.0000,0.0000,-2.0000,
-23.0000,-10.0000,-8.0000,-4.0000,0.0000,5.0000,1.0000,7.0000,4.0000,-5.0000,
-23.0000,-9.0000,-2.0000,2.0000,2.0000,4.0000,7.0000,4.0000,2.0000,-4.0000,
1.0000,5.0000,4.0000,3.0000,1.0000,1.0000,1.0000,2.0000,0.0000,-3.0000,
25.0000,4.0000,2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,
